                                       Count	% All	% Overflowing
===> Overflow Analysis <===
Valid packages processed:              1172
... containing any overflows:          413 	35%
== Undefined ==
... containing undefined overflows:    197 	16%	47%
... containing signed overflows:       73 	6%	17%
... containing shift overflows:        174 	14%	42%
... containing signed negation errs:   17 	1%	4%
... containing division errs:          1 	0%	0%
== Not Undefined ==
... containing unsigned overflows:     355 	30%	85%
... containing unsigned negation errs: 64 	5%	15%

===> General Package Stats <===
Processed:                      10000
Success:                        8440
Fail:                           1560
C/C++:                          4852
Overflowing:                    499
Loaded IOC-instr code:          3371
== Ignoring Configure Tests ==
Overflowing:                    417
Loaded IOC-instr code:          1172

===> Run Stats <===
ETA for run completion:         0 days 0 hours 0 mins
Packages remaining:             0

====================================================================================
Package Name                   | Any | Signd | Shift | SNeg  | Div   | Usign | UNeg 
gnubg ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
gnugo ........................ | Yes | ..... | Shift | ..... | ..... | Usign | .....
gnuplot ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gnuradio ..................... | Yes | Signd | ..... | ..... | ..... | Usign | .....
goattracker .................. | ... | ..... | ..... | ..... | ..... | ..... | .....
gobject-introspection ........ | Yes | ..... | ..... | ..... | ..... | Usign | .....
gogglesmm .................... | ... | ..... | ..... | ..... | ..... | ..... | .....
google-gadgets ............... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gpac ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gphoto2 ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gpsbabel ..................... | Yes | ..... | Shift | ..... | ..... | Usign | .....
gpsd ......................... | Yes | Signd | Shift | ..... | ..... | Usign | .....
gpw .......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gpx2shp ...................... | ... | ..... | ..... | ..... | ..... | ..... | .....
graphviz ..................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gretl ........................ | ... | ..... | ..... | ..... | ..... | ..... | .....
grive ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
groff ........................ | Yes | ..... | ..... | ..... | ..... | Usign | UNeg 
grok ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gsasl ........................ | Yes | ..... | Shift | ..... | ..... | Usign | .....
gsl .......................... | Yes | ..... | ..... | SNeg  | ..... | Usign | .....
gst-buzztard ................. | ... | ..... | ..... | ..... | ..... | ..... | .....
gst-fluendo-mp3 .............. | ... | ..... | ..... | ..... | ..... | ..... | .....
gst-libav1.0 ................. | Yes | ..... | ..... | ..... | ..... | Usign | .....
gstm ......................... | ... | ..... | ..... | ..... | ..... | ..... | .....
gst-plugins-base0.10 ......... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
gst-plugins-base1.0 .......... | Yes | Signd | Shift | ..... | ..... | Usign | UNeg 
gstreamer0.10-ffmpeg ......... | Yes | ..... | ..... | ..... | ..... | Usign | .....
gstreamer0.10 ................ | Yes | ..... | Shift | ..... | ..... | Usign | UNeg 
gstreamer1.0 ................. | Yes | ..... | Shift | ..... | ..... | Usign | UNeg 
gtest ........................ | Yes | ..... | ..... | ..... | ..... | Usign | .....
gtk+2.0 ...................... | Yes | ..... | ..... | ..... | ..... | Usign | .....
